RELATÓRIO DE VAGAS - JOINVILLE/SC
Período: 22/06/2026 a 29/06/2026
Gerado em: 29/06/2026 17:17
Total de vagas: 42


🔴 ÚLTIMOS 7 DIAS - 42 vagas

Período;Categoria;Mês Ref.;Data;Hora;Cargo;Empresa;Cidade;Bairro;Salário;Horário;Contrato;Escolaridade;Email;WhatsApp;Telefone;Benefícios;Requisitos;Atividades;Experiência;Link Vaga;Link Mensagem;Fonte;Descrição
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;29/06/2026;16:19;Ajudante Geral;Cooprincesa;Joinville/SC;Santa Catarina;R$ 1.750,00;Segunda a sexta-feira, das 22h00 às 07h45;;;;(41) 9895-1600;;"Vale-refeição de R$ 30,00 por dia útil;Vale-alimentação de R$ 953,00 por mês;Vale-transporte;Assistência odontológica;Cartão farmácia;Seguro de vida;Gympass;Passe livre nas férias;R$ 70,00 no mês de aniversário;Cooprincesa.Interessados podem entrar em contato pelo WhatsApp: (41) 9895-1600 (Fernanda ";;"Carga e descarga de mercadorias;Separação e organização de volumes;Apoio nas atividades operacionais do setor;Movimentação de materiais e organização do ambiente de trabalho.Salário: R$ 1.750,00 + Adicional NoturnoBenefícios:Vale-refeição de R$ 30,00 por dia útil;Vale-alimentação de R$ 953,00 por mês;Vale-transporte;Assistência odontológica;Cartão farmácia;Seguro de vida;Gympass;Passe livre nas fé";;;https://t.me/c/1191506085/173057;Empregos Joinville e Região;"VAGA: AJUDANTE GERAL – JOINVILLE/SCEstamos com oportunidade para Ajudante Geral em Joinville/SC!Local: Bairro Santa Catarina – Joinville/SCHorário: Segunda a sexta-feira, das 22h00 às 07h45.Atividades:Carga e descarga de mercadorias;Separação e organização de volumes;Apoio nas atividades operacionais do setor;Movimentação de materiais e organização do ambiente de trabalho.Salário: R$ 1.750,00 + Adicional NoturnoBenefícios:Vale-refeição de R$ 30,00 por dia útil;Vale-alimentação de R$ 953,00 por mês;Vale-transporte;Assistência odontológica;Cartão farmácia;Seguro de vida;Gympass;Passe livre nas férias;R$ 70,00 no mês de aniversário;Cooprincesa.Interessados podem entrar em contato pelo WhatsApp: (41) 9895-1600 (Fernanda Sanches)."
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;29/06/2026;16:00;Auxiliar De Produção;;Joinville/SC;América;R$ 2.032,00;;;;;(47) 99287-3060;;* Transporte fretado* Restaurante interno* Convênio com farmácia* Convênio com clínica médica* Cesta básica (prêmio por assiduidade)* Cartão Assiduidade no valor de R$ 150,00 Interessados devem comparecer pessoalmente à FLEX RH:Rua Blumenau, nº 314 (fundos) – Bairro América Dúvidas e informações:Wha;;;;;https://t.me/c/1191506085/173054;Empregos Joinville e Região;VAGA ABERTA – AUXILIAR DE PRODUÇÃO Vagas para todos os turnos Salário: R$ 2.032,00 Benefícios:* Transporte fretado* Restaurante interno* Convênio com farmácia* Convênio com clínica médica* Cesta básica (prêmio por assiduidade)* Cartão Assiduidade no valor de R$ 150,00 Interessados devem comparecer pessoalmente à FLEX RH:Rua Blumenau, nº 314 (fundos) – Bairro América Dúvidas e informações:WhatsApp: (47) 99287-3060
ÚLTIMOS 7 DIAS;Administrativo;JUNE/2026;29/06/2026;16:00;Assistente De Vendas;;Joinville/SC;;;para eventuais trocas de turno;;Médio Completo;;48999315708;;;;;com atendimento ao público e disponibilidade de horário para eventuais trocas de turno. Contato para mais informações: 48999315708;;https://t.me/c/1191506085/173046;Empregos Joinville e Região;Vaga para assistente de vendas/caixa (feminino) Loja Makenji do shopping cidade das flores em Joinville Horário a combinar Ensino médio completo, boa comunicação, possuir experiência com atendimento ao público e disponibilidade de horário para eventuais trocas de turno. Contato para mais informações: 48999315708
ÚLTIMOS 7 DIAS;Geral;JUNE/2026;29/06/2026;16:00;;;Joinville/SC;Iririú;;;;Médio Completo;;(47) 8492-0040;;;;;com vendas, atendimento ao público ou telemarketing e gosta de desafios, essa oportunidade é para você! O que você vai fazer: Realizar negociações com clientes via WhatsApp, e-mail e telefone Atuar co;;https://t.me/c/1191506085/173042;Empregos Joinville e Região;VAGA ABERTA: NEGOCIADOR(A) Bairro Iririú - Joinville/SC Se você tem experiência com vendas, atendimento ao público ou telemarketing e gosta de desafios, essa oportunidade é para você! O que você vai fazer: Realizar negociações com clientes via WhatsApp, e-mail e telefone Atuar com atendimento ativo e receptivo Acompanhar acordos e processos de cobrança Atualizar informações no sistema Buscamos pessoas que tenham: Ensino médio completo Experiência com vendas, atendimento ou telemarketing Boa comunicação e poder de negociação Foco em metas e resultados O que oferecemos: Vale alimentação/refeição Vale transporte Plano de saúde Convênio odontológico Parcerias com instituições de ensino Academia Global Plano de desenvolvimento (PDI) Oportunidade real de crescimento Carga horária mensal: 180 horas Horário de trabalho: Segunda a quinta-feira: das 09h48 às 18h00 Sexta-feira: das 08h30 às 16h42 Entre em contato:(47) 8492-0040
ÚLTIMOS 7 DIAS;Geral;JUNE/2026;29/06/2026;16:00;;para trabalhar com;Joinville/SC;Itinga;R$ 150,00;;MEI;;;;;;*** Experiência em estofamento de sofás.* Preferencialmente morar próximo ou possuir meio de locomoção próprio.**Local de trabalho:**Rua Waldemiro José Borges, nº 3840 – Itinga – Joinville.Interessados, entrar em contato pelo WhatsApp:** (47) ****99601-8280****.**;;**para trabalhar com** reforma e fabricação de sofás.****Diária: **R$ 150,00**Horário de trabalho (à escolha):*** 07h às 17h ** ou*** 08h às 18h**Requisitos:*** Experiência em estofamento de sofás.* P;;https://t.me/c/1191506085/173034;Empregos Joinville e Região;**VAGA DE EMPREGO – ESTOFADOR**Estamos contratando** estofador com experiência **para trabalhar com** reforma e fabricação de sofás.****Diária: **R$ 150,00**Horário de trabalho (à escolha):*** 07h às 17h ** ou*** 08h às 18h**Requisitos:*** Experiência em estofamento de sofás.* Preferencialmente morar próximo ou possuir meio de locomoção próprio.**Local de trabalho:**Rua Waldemiro José Borges, nº 3840 – Itinga – Joinville.Interessados, entrar em contato pelo WhatsApp:** (47) ****99601-8280****.**
ÚLTIMOS 7 DIAS;Geral;JUNE/2026;29/06/2026;16:00;;Fornecida pela Empresa;Joinville/SC;;R$ 2250,00.;;;;;47 98489-5302;;;;;;;https://t.me/c/1191506085/173033;Empregos Joinville e Região;*VAGA PARA INICIO IMEDIATO*Segunda a Sexta Feira5:00 as 14:18 7:30 as 17:00*Salário:*R$ 2250,00.R$ 2300,00 *(Após 90 dias)**Prêmio Assiduidade:*•R$ 350,00 *(A partir da contratação)*. •Podendo chegar a R$500,00*(Conforme critérios estabelecidos pela empresa)**V.T ou Vale Combustível*(Não temos fretado)*Refeição:* Fornecida pela Empresa *(Sem custo para o funcionário)**Seguro de Vida:*Pago pela empresa*(Sem custo para o funcionário)*Interessados enviar o *PDF DA CARTEIRA DE TRABALHO* para 47 98489-5302
ÚLTIMOS 7 DIAS;Geral;JUNE/2026;29/06/2026;16:00;;;Joinville/SC;;R$ 2.500,00;;CLT;;;(47) 997453484;;"em consultas e exames em clínicas médicas, especialidades, consultórios odontológicos, farmácias, óticas, exames clínicos e de imagens, academias, restaurantes, clínicas, entre outros.Requisitos: Maior de 18 anos; Possuir CNH categoria B; Experiência na função. Sobre a empresa:Atuamos há mais de 5 a";"Maior de 18 anos; Possuir CNH categoria B; Experiência na função. Sobre a empresa:Atuamos há mais de 5 anos no mercado, prestando serviços para concessionárias de médio e alto padrão. Trabalhamos com grandes marcas, oferecendo um ambiente estruturado, organizado e com oportunidades reais de crescime";;na função. Sobre a empresa:Atuamos há mais de 5 anos no mercado, prestando serviços para concessionárias de médio e alto padrão. Trabalhamos com grandes marcas, oferecendo um ambiente estruturado, org;;https://t.me/c/1191506085/173031;Empregos Joinville e Região;"OPORTUNIDADE DE TRABALHO – INÍCIO IMEDIATO Vaga: Lavador Automotivo (Concessionária)Oferecemos: Contratação em regime CLT; Salário inicial de R$ 2.500,00; Bonificação por assiduidade; Bonificação por produtividade; Vale-transporte; Vale-alimentação; Cursos e especializações em polimento e estética automotiva; Cartão de benefícios em consultas e exames em clínicas médicas, especialidades, consultórios odontológicos, farmácias, óticas, exames clínicos e de imagens, academias, restaurantes, clínicas, entre outros.Requisitos: Maior de 18 anos; Possuir CNH categoria B; Experiência na função. Sobre a empresa:Atuamos há mais de 5 anos no mercado, prestando serviços para concessionárias de médio e alto padrão. Trabalhamos com grandes marcas, oferecendo um ambiente estruturado, organizado e com oportunidades reais de crescimento profissional. Interessados, entrar em contato pelo WhatsApp:(47) 997453484"
ÚLTIMOS 7 DIAS;Geral;JUNE/2026;29/06/2026;15:58;;Fort Atacadista Aventureiro;Joinville/SC;Aventureiro;;;;;;;;;;;;;https://t.me/c/1191506085/173012;Empregos Joinville e Região;Estamos com Vagas para todos os Fort Atacadistas de Joinville!Compareça no Fort mais próximo e procure o setor de Gente e Gestão para uma entrevista nos dias 29 a 03/07.Horários para entrevista: 08 as 17:00.Locais:Fort Atacadista Aventureiro.Fort Atacadista Floresta.Fort Atacadista Bucarein.Fort Atacadista Costa e Silva.Fort Atacadista Vila Nova.
ÚLTIMOS 7 DIAS;Técnico;JUNE/2026;26/06/2026;17:18;Auxiliar De Logística;;Joinville/SC;;;;;;;;;;;;;;https://t.me/c/1191506085/172835;Empregos Joinville e Região;*VAGAS EM JOINVILLE** Misturador JR* Operador de prensa / injetora* Operador de produção* Preparador de máquinas* Auxiliar de logística Jr* Auxiliar de montagem* Operador de máquina* Soldador Oxiacetilêno* Caldeireiro / Soldador* Assistente de vendas* Serviços gerais* Repositor* Atendente* Suqueira* Técnico Eletrônico de Bancada* Mecânico de refrigeração* Operador de produção * Técnico de processos* Auxiliar de estoque para agendar: https://tinyurl.com/EMPLOYERRH30
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;25/06/2026;20:56;Atendente;"Registro em carteira
Vale transporte";Joinville/SC;Santo Antônio;R$ 2.200,00;;Contrato;;;(47) 999020559;;;;;Registro em carteiraVale transporteA gente dá a alimentação.Vaga para restaurante na zona norte de Joinville, bairro Santo Antônio, próximo ao terminal norte de ônibus.Número para contato 47 999020559;;https://t.me/c/1191506085/172740;Empregos Joinville e Região;Atendente/caixa de restauranteTurno de 44 horas semanaisSeg a sexta das 12:00 as 22:00 (2 horas de intervalo)Sábado das 11:00 as 15:00São 8 horas trabalhadas por dia de segunda a sexta e 4 horas trabalhadas sábado. Domingo não trabalhamos.Salário inicial R$ 2.200,00 + R$ 200,00 bônus de assiduidade.Contrato de experiência Registro em carteiraVale transporteA gente dá a alimentação.Vaga para restaurante na zona norte de Joinville, bairro Santo Antônio, próximo ao terminal norte de ônibus.Número para contato 47 999020559
