RELATÓRIO DE VAGAS - JOINVILLE/SC
Período: 01/06/2026 a 29/06/2026
Gerado em: 29/06/2026 13:44
Total de vagas: 225
Administrativo: 9; | Operacional: 105; | Técnico: 6; | Geral: 105


🔴 ÚLTIMOS 7 DIAS - 49 vagas

Período;Categoria;Mês Ref.;Data;Hora;Cargo;Empresa;Cidade;Bairro;Salário;Horário;Contrato;Escolaridade;Email;WhatsApp;Telefone;Benefícios;Requisitos;Atividades;Experiência;Link Vaga;Link Mensagem;Fonte;Descrição
ÚLTIMOS 7 DIAS;Técnico;JUNE/2026;26/06/2026;17:18;Vagas Em Joinville;VAGAS EM JOINVILLE;Joinville/SC;;;;;;;;;;;;;;https://t.me/c/1191506085/172835;Empregos Joinville e Região;*VAGAS EM JOINVILLE** Misturador JR* Operador de prensa / injetora* Operador de produção* Preparador de máquinas* Auxiliar de logística Jr* Auxiliar de montagem* Operador de máquina* Soldador Oxiacetilêno* Caldeireiro / Soldador* Assistente de vendas* Serviços gerais* Repositor* Atendente* Suqueira* Técnico Eletrônico de Bancada* Mecânico de refrigeração* Operador de produção * Técnico de processos* Auxiliar de estoque☎ para agendar: https://tinyurl.com/EMPLOYERRH30
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;25/06/2026;20:56;Para Restaurante Na Zona Norte De Joinville;Registro em carteira;Joinville/SC;Santo Antônio;R$ 2.200,00;;Contrato;;;(47) 999020559;;;;;Registro em carteiraVale transporteA gente dá a alimentação.Vaga para restaurante na zona norte de Joinville, bairro Santo Antônio, próximo ao terminal norte de ônibus.Número para contato 47 999020559;;https://t.me/c/1191506085/172740;Empregos Joinville e Região;Atendente/caixa de restauranteTurno de 44 horas semanaisSeg a sexta das 12:00 as 22:00 (2 horas de intervalo)Sábado das 11:00 as 15:00São 8 horas trabalhadas por dia de segunda a sexta e 4 horas trabalhadas sábado. Domingo não trabalhamos.Salário inicial R$ 2.200,00 + R$ 200,00 bônus de assiduidade.Contrato de experiência Registro em carteiraVale transporteA gente dá a alimentação.Vaga para restaurante na zona norte de Joinville, bairro Santo Antônio, próximo ao terminal norte de ônibus.Número para contato 47 999020559
ÚLTIMOS 7 DIAS;Administrativo;JUNE/2026;25/06/2026;20:46;Vaga Aberta;"AUXILIAR ADMINISTRATIVO
Estamos";Joinville/SC;Itaum;R$ 2.280;;;;;47 99678-9680;;Vaga presencial em Joinville/SCContato +55 47 99678-9680;;* Emissão de notas fiscais* Controle e organização de estoque* Recebimento de mercadorias e transportadoras* Apoio em demandas administrativas* Atendimento de SAC e suporte ao clienteBuscamos alguém com:* Boa comunicação* Organização e atenção aos detalhes* Responsabilidade com prazos e processos* Facilidade para trabalhar em equipe Local: Bairro Itaum – Joinville/SC Horário: Segunda a sexta, das ;;;https://t.me/c/1191506085/172739;Empregos Joinville e Região;VAGA ABERTA | AUXILIAR ADMINISTRATIVOEstamos contratando uma pessoa organizada, ágil e com vontade de crescer para atuar com foco em logística, estoque e rotinas administrativas.Atividades:* Emissão de notas fiscais* Controle e organização de estoque* Recebimento de mercadorias e transportadoras* Apoio em demandas administrativas* Atendimento de SAC e suporte ao clienteBuscamos alguém com:* Boa comunicação* Organização e atenção aos detalhes* Responsabilidade com prazos e processos* Facilidade para trabalhar em equipe Local: Bairro Itaum – Joinville/SC Horário: Segunda a sexta, das 08h30 às 17h30, com 1 hora de almoçoSalário: R$ 2.280 + benefícios Vaga presencial em Joinville/SCContato +55 47 99678-9680
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;25/06/2026;14:12;Vaga Aberta;;Joinville/SC;América;R$ 2.032,00;;;;;(47) 99287-3060;;* Transporte fretado* Restaurante interno* Convênio com farmácia* Convênio com clínica médica* Cesta básica (prêmio por assiduidade)* Cartão Assiduidade no valor de R$ 150,00 Interessados devem comparecer pessoalmente à FLEX RH:Rua Blumenau, nº 314 (fundos) – Bairro América Dúvidas e informações:Wha;;;;;https://t.me/c/1191506085/172699;Empregos Joinville e Região;VAGA ABERTA – AUXILIAR DE PRODUÇÃO✅ Vagas para todos os turnos Salário: R$ 2.032,00 Benefícios:* Transporte fretado* Restaurante interno* Convênio com farmácia* Convênio com clínica médica* Cesta básica (prêmio por assiduidade)* Cartão Assiduidade no valor de R$ 150,00 Interessados devem comparecer pessoalmente à FLEX RH:Rua Blumenau, nº 314 (fundos) – Bairro América Dúvidas e informações:WhatsApp: (47) 99287-3060
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;25/06/2026;14:12;Employer Rh Está;;Joinville/SC;;;;;;;;;;;;;;https://t.me/c/1191506085/172697;Empregos Joinville e Região;A Employer RH está com vagas abertas para a área de gastronomia e açougue. Confira as posições disponíveis:✔ Auxiliar de Cozinha✔ Cozinheiro(a)✔ Açougueiro✔ Oficial de CozinhaInteressados devem entrar em contato ou comparecer ao endereço informado!☑Agendar: https://tinyurl.com/EMPLOYER18
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;25/06/2026;14:12;Venha Fazer Parte;VENHA FAZER PARTE DO NOSSO TIME;Joinville/SC;;R$ 2.867,59;;;;;47 99752-0227;;;;;;;https://t.me/c/1191506085/172688;Empregos Joinville e Região;VENHA FAZER PARTE DO NOSSO TIMEVaga para MOTORISTAEmpresa oferece Salário fixo - R$ 2.867,59 + R$ 200,00 assiduidadePlano de saúde + Plano odontológico.Refeição sem desconto em folha.Transporte gratuito a partir do Posto Bonessi- na BR101Informações somente pelo Watts 47 99752-0227
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;25/06/2026;14:12;Vagas De Atendimento Ao;;Joinville/SC;Anita Garibaldi;R$ 1.433,60;;;Médio Completo;;(47) 99765-0272;;;✔ Ter entre 18 e 25 anos✔ Ensino médio completo✔ Não estar trabalhando atualmente✔ Possuir transporte próprio para as vagas noturnas Início imediato! Interessou? Entre em contato agora mesmo: (47) 99765-0272 – Luiz;;;;https://t.me/c/1191506085/172685;Empregos Joinville e Região;✨ VAGAS DE ATENDIMENTO AO CLIENTE – INÍCIO IMEDIATO!Está procurando uma oportunidade de emprego? Temos vagas disponíveis em diferentes turnos para você escolher o que melhor se encaixa na sua rotina! Atendimento SAC Receptivo Horários disponíveis:✔ 08h às 14h✔ 14h às 20h✔ 20h às 02h ✔ 02h às 08h O que oferecemos:✔ Salário de R$ 1.433,60✔ Vale-alimentação de R$ 145,00✔ Bonificação após 3 meses✔ Escala 5x2✔ Adicional noturno de 25% para os turnos das 20h às 02h e das 02h às 08h Local: Presencial – Anita Garibaldi (BR Call Center) Requisitos:✔ Ter entre 18 e 25 anos✔ Ensino médio completo✔ Não estar trabalhando atualmente✔ Possuir transporte próprio para as vagas noturnas Início imediato! Interessou? Entre em contato agora mesmo: (47) 99765-0272 – Luiz
ÚLTIMOS 7 DIAS;Geral;JUNE/2026;25/06/2026;14:12;Se Revisora Para;;Joinville/SC;Bom Retiro;;;;;;(47) 997770028;;;;;;;https://t.me/c/1191506085/172679;Empregos Joinville e Região;Contrata-se Revisora para o Bairro Bom Retiro.Contato 47 997770028
ÚLTIMOS 7 DIAS;Geral;JUNE/2026;25/06/2026;14:12;Vaga Urgente;com operação de máquinas;Joinville/SC;Pirabeiraba;R$ 11,99;;CLT;Médio Completo;;(47) 98827-1420;;*✔ Vale transporte✔ Alimentação na empresa✔ Após efetivação:• Plano de saúde (Unimed)• Plano odontológico• Convênio farmácia• Bolsa de estudos• Auxílio creche• Estacionamento gratuito *Requisitos:*✔ Experiência com operação de máquinas✔ Ensino médio completo✔ Residir em Pirabeiraba ou proximidades *;*✔ Experiência com operação de máquinas✔ Ensino médio completo✔ Residir em Pirabeiraba ou proximidades *Atividades:*• Operar máquina perfiladeira na linha de produção• Conferir a qualidade das peças produzadas• Acompanhar o processo produtivo, garantindo o padrão de qualidade• Preencher controles si;*• Operar máquina perfiladeira na linha de produção• Conferir a qualidade das peças produzadas• Acompanhar o processo produtivo, garantindo o padrão de qualidade• Preencher controles simples de qualidade• Auxiliar na organização e no abastecimento da máquina Mais informações: (47) 98827-1420;com operação de máquinas✔ Ensino médio completo✔ Residir em Pirabeiraba ou proximidades *Atividades:*• Operar máquina perfiladeira na linha de produção• Conferir a qualidade das peças produzadas• Acom;;https://t.me/c/1191506085/172678;Empregos Joinville e Região;VAGA URGENTE: *OPERADOR DE MÁQUINA* Empresa localizada em *Pirabeiraba – Joinville/SC* Vaga temporária com grande chance de efetivação *Vaga masculina* (conforme Art. 390 da CLT) *Salário:* R$ 11,99 por hora (média de R$ 2.637,80/mês) *Horário:* Segunda a sexta-feira, das 05:00 às 14:48 *Benefícios:*✔ Vale transporte✔ Alimentação na empresa✔ Após efetivação:• Plano de saúde (Unimed)• Plano odontológico• Convênio farmácia• Bolsa de estudos• Auxílio creche• Estacionamento gratuito *Requisitos:*✔ Experiência com operação de máquinas✔ Ensino médio completo✔ Residir em Pirabeiraba ou proximidades *Atividades:*• Operar máquina perfiladeira na linha de produção• Conferir a qualidade das peças produzadas• Acompanhar o processo produtivo, garantindo o padrão de qualidade• Preencher controles simples de qualidade• Auxiliar na organização e no abastecimento da máquina Mais informações: (47) 98827-1420
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;25/06/2026;14:12;Bm Vagas;;Joinville/SC;;;;;;erasmo.soares@bmvagas.com;(47) 99287-2025;;;;;;;https://t.me/c/1191506085/172676;Empregos Joinville e Região;A BM VAGAS, em parceria com loja do segmento de moda feminina, acessórios e calçados, seleciona Vendedora para Joinville/SC.Whatsapp: (47) 99287-2025E-mail: erasmo.soares@bmvagas.com
ÚLTIMOS 7 DIAS;Operacional;JUNE/2026;24/06/2026;21:42;Employer Rh Está;;Joinville/SC;;;;;;;;;;;;;;https://t.me/c/1191506085/172578;Empregos Joinville e Região;A Employer RH está com vagas abertas para a área de gastronomia e açougue. Confira as posições disponíveis:✔ Auxiliar de Cozinha✔ Cozinheiro(a)✔ Açougueiro✔ Oficial de CozinhaInteressados devem entrar em contato ou comparecer ao endereço informado!☑Agendar: https://tinyurl.com/EMPLOYER18
